quarter,turnoverRatio
1,4.2294230769230765
2,2.94984375
3,2.6295081967213116
4,1.7784745762711867
5,1.5501639344262295
6,1.4879687500000003
7,1.340333333333333
8,1.1562711864406785
9,1.206
10,1.538615384615384
11,1.0558333333333332
12,1.14864406779661
13,0.8765000000000002
14,0.7842187500000001
15,0.9748333333333329
16,1.732068965517242
17,1.5294999999999994
18,1.029230769230769
19,0.9804918032786887
20,1.8474137931034484
21,1.3715254237288133
22,1.9195454545454547
23,1.3036666666666668
24,1.5891379310344829
25,1.4255
26,1.90546875
27,1.5495081967213113
28,1.3755172413793109
29,1.440338983050848
30,1.1183076923076922
31,0.982833333333333
