week,turnoverRatio
1,4.115
2,4.732000000000001
3,4.02
4,3.088
5,3.7299999999999995
6,4.228
7,5.416
8,4.896
9,4.576
10,3.896
11,3.5249999999999995
12,3.974
13,3.6000000000000005
14,3.3540000000000005
15,3.814
16,3.3300000000000005
17,2.4899999999999998
18,3.322
19,3.53
20,2.7600000000000002
21,2.4600000000000004
22,2.388
23,2.3459999999999996
24,2.274
25,1.4033333333333333
26,2.12
27,3.0840000000000005
28,3.314
29,2.8620000000000005
30,2.898
31,3.4620000000000006
32,2.84
33,2.8739999999999997
34,2.32
35,1.8060000000000003
36,2.098
37,2.188
38,1.8575
39,1.814
40,1.984
41,1.69
42,1.584
43,1.342
44,1.6320000000000001
45,1.9300000000000002
46,2.152
47,1.532
48,1.7239999999999998
49,2.122
50,1.834
51,2.1199999999999997
52,2.0840000000000005
53,1.7100000000000002
54,1.172
55,1.6025
56,1.218
57,1.206
58,1.176
59,1.6020000000000003
60,1.42
61,1.65
62,1.5799999999999998
63,1.6099999999999999
64,1.908
65,1.9600000000000002
66,1.5719999999999998
67,1.7419999999999998
68,1.2440000000000002
69,1.3779999999999997
70,1.9479999999999997
71,1.4860000000000002
72,1.2360000000000002
73,1.454
74,1.3266666666666669
75,1.044
76,0.998
77,1.29
78,1.31
79,1.4140000000000001
80,1.244
81,1.56
82,1.7879999999999998
83,1.6219999999999999
84,1.5779999999999998
85,1.064
86,1.2680000000000002
87,1.08
88,0.866
89,1.0699999999999998
90,1.0660000000000003
91,0.9359999999999999
92,0.81
93,0.63
94,1.098
95,1.4
96,1.4280000000000002
97,1.214
98,1.122
99,1.1320000000000001
100,1.242
101,1.376
102,1.7166666666666666
103,1.848
104,1.3739999999999999
105,1.246
106,1.255
107,1.0779999999999998
108,1.06
109,1.064
110,1.0
111,1.032
112,1.036
113,1.0699999999999998
114,1.03
115,1.206
116,1.298
117,1.522
118,1.5419999999999998
119,1.8359999999999999
120,1.904
121,1.492
122,1.302
123,1.614
124,1.7079999999999997
125,1.866
126,1.524
127,1.188
128,1.334
129,1.126
130,1.0299999999999998
131,1.106
132,1.152
133,1.276
134,1.0899999999999999
135,0.9799999999999999
136,0.95
137,0.866
138,0.8380000000000001
139,0.922
140,1.1800000000000002
141,1.214
142,1.1800000000000002
143,1.106
144,1.244
145,1.198
146,0.7799999999999999
147,0.91
148,1.134
149,1.1380000000000001
150,1.184
151,1.208
152,1.1720000000000002
153,1.12
154,0.942
155,1.0959999999999999
156,0.924
157,0.9166666666666666
158,0.8939999999999999
159,0.836
160,0.9199999999999999
161,0.852
162,0.7060000000000001
163,0.68
164,0.9125
165,0.716
166,0.796
167,0.806
168,0.7340000000000001
169,1.028
170,0.826
171,0.8099999999999999
172,0.7200000000000001
173,0.658
174,0.74
175,0.75
176,0.708
177,0.8100000000000002
178,0.8150000000000001
179,0.9280000000000002
180,0.8879999999999999
181,1.012
182,1.066
183,1.032
184,1.4739999999999998
185,1.29
186,0.9400000000000001
187,0.9960000000000001
188,0.772
189,0.64
190,0.66
191,0.7666666666666666
192,0.974
193,0.954
194,0.892
195,0.8859999999999999
196,1.198
197,1.762
198,2.636
199,3.246
200,2.6320000000000006
201,2.332
202,2.12
203,2.7449999999999997
204,2.31
205,2.004
206,1.832
207,1.5350000000000001
208,1.48
209,1.272
210,1.1640000000000001
211,1.14
212,1.1025
213,1.248
214,1.1720000000000002
215,1.0399999999999998
216,1.068
217,0.8160000000000001
218,0.8939999999999999
219,0.778
220,0.8039999999999999
221,0.8720000000000001
222,0.836
223,1.096
224,1.188
225,1.466
226,1.4224999999999999
227,1.1960000000000002
228,1.072
229,0.78
230,0.8575
231,0.9979999999999999
232,0.8099999999999999
233,1.0619999999999998
234,0.944
235,0.8019999999999999
236,0.8700000000000001
237,0.85
238,0.788
239,1.0259999999999998
240,1.4460000000000002
241,1.174
242,1.42
243,1.608
244,1.312
245,1.4449999999999998
246,1.8599999999999999
247,1.7739999999999998
248,2.134
249,2.664
250,2.286
251,2.184
252,1.786
253,1.5080000000000002
254,1.28
255,1.485
256,1.3160000000000003
257,1.454
258,1.3849999999999998
259,1.5533333333333335
260,1.306
261,1.316
262,1.084
263,1.452
264,1.332
265,1.596
266,1.3966666666666665
267,1.7579999999999998
268,3.3300000000000005
269,2.832
270,2.278
271,1.7479999999999998
272,2.184
273,1.8539999999999999
274,1.9300000000000002
275,1.556
276,1.522
277,1.8239999999999998
278,1.3319999999999999
279,1.1780000000000002
280,0.87
281,1.09
282,1.2580000000000002
283,0.958
284,0.952
285,1.1800000000000002
286,1.388
287,1.4260000000000002
288,1.574
289,1.598
290,1.268
291,1.1520000000000001
292,1.4339999999999997
293,1.5474999999999999
294,1.9299999999999997
295,1.7079999999999997
296,1.4860000000000002
297,1.5080000000000002
298,1.426
299,1.1933333333333334
300,1.74
301,1.846
302,1.718
303,1.6920000000000002
304,1.496
305,1.41
306,1.314
307,1.45
308,1.3039999999999998
309,1.3059999999999998
310,1.3279999999999998
311,1.665
312,1.7239999999999998
313,1.448
314,1.4780000000000002
315,1.512
316,1.472
317,1.2974999999999999
318,1.394
319,1.28
320,1.4100000000000001
321,1.6900000000000002
322,1.6640000000000001
323,1.8599999999999999
324,1.7280000000000002
325,1.718
326,1.704
327,1.9440000000000002
328,2.476
329,2.544
330,2.3400000000000003
331,2.0533333333333332
332,1.955
333,1.87
334,1.6199999999999999
335,1.5539999999999998
336,1.5859999999999999
337,1.564
338,1.424
339,1.46
340,1.582
341,1.6099999999999999
342,1.736
343,1.564
344,1.552
345,1.278
346,1.7025000000000001
347,1.48
348,1.4419999999999997
349,1.1340000000000001
350,1.3719999999999999
351,1.0899999999999999
352,1.408
353,1.3639999999999999
354,1.49
355,1.454
356,1.268
357,1.3960000000000001
358,1.656666666666667
359,1.496
360,1.282
361,1.514
362,1.395
363,1.31
364,1.23
365,1.348
366,1.3
367,1.568
368,1.7260000000000002
369,1.428
370,1.4460000000000002
371,1.43
372,1.27
373,1.244
374,1.1
375,1.19
376,1.084
377,1.174
378,1.19
379,1.07
380,1.028
381,1.0725
382,0.842
383,0.8099999999999999
384,0.8719999999999999
385,0.868
386,1.004
387,1.104
388,1.092
389,1.1760000000000002
390,0.9359999999999999
391,1.1780000000000002
392,1.28
393,0.8919999999999998
394,0.696
395,0.696
