index_level,diff,is_rising,pli
7980.76,68.67000000000007,1,1.0
8419.1,8.399999999999636,1,0.8
8469.67,41.42000000000007,1,0.75
8201.29,297.8100000000013,1,0.4
8742.89,-70.5,0,0.6
9778.17,158.95000000000073,1,1.0
9966.85,98.43000000000029,1,0.8
11144.52,179.11000000000058,1,0.8
11545.89,179.59999999999854,1,0.6
9987.41,-743.9699999999993,0,0.2
9078.07,-828.0300000000007,0,0.5
7355.49,-479.6100000000006,0,0.2
7244.78,348.4299999999994,1,0.4
7994.7,415.9399999999996,1,0.8
8425.07,-126.92000000000007,0,0.8
7727.06,-73.51999999999953,0,0.2
8013.32,221.28999999999996,1,0.4
8625.24,90.80999999999949,1,0.8
7612.9,-436.6100000000006,0,0.4
6842.89,386.8299999999999,1,0.4
6122.55,-46.659999999999854,0,0.0
6493.32,53.00999999999931,1,0.8
6036.88,71.47000000000025,1,0.4
6108.38,-206.72999999999956,0,0.6
6123.73,20.11999999999989,1,0.6666666666666666
6470.05,97.5600000000004,1,1.0
7047.56,118.32000000000062,1,0.8
7138.23,173.92999999999938,1,0.6
7084.97,-24.00999999999931,0,0.6
7446.85,170.40000000000055,1,0.6
7567.11,-115.34000000000015,0,0.6
7806.27,87.65000000000055,1,0.6
7376.12,-497.96000000000004,0,0.4
7511.68,-58.82999999999993,0,0.6
7290.7,-59.51000000000022,0,0.2
7699.37,-16.88000000000011,0,0.8
7792.12,39.07999999999993,1,0.6
7617.69,-123.36000000000058,0,0.5
6570.43,108.19000000000051,1,0.4
5893.68,-231.13999999999942,0,0.4
5980.61,93.72999999999956,1,0.6
5469.13,197.90000000000055,1,0.4
5664.2,-57.289999999999964,0,0.6
5979.52,22.390000000000327,1,0.8
5648.94,22.889999999999418,1,0.6
5621.56,-155.41999999999916,0,0.6
5508.98,-12.970000000000255,0,0.4
5949.26,203.28000000000065,1,0.6
6077.43,59.01000000000022,1,0.6
6124.53,-31.280000000000655,0,0.4
6168.74,-60.23000000000047,0,0.5
6384.35,-17.50999999999931,0,0.6
6011.32,40.63999999999942,1,0.4
5985.59,-4.739999999999782,0,0.2
5961.49,-242.32999999999993,0,0.75
5714.31,-12.149999999999636,0,0.2
5732.9,66.17000000000007,1,0.6
5739.59,-4.800000000000182,0,0.4
6032.6,18.710000000000036,1,0.8
6023.88,-21.479999999999563,0,0.3333333333333333
5964.27,33.720000000000255,1,0.6
5903.62,-74.55000000000018,0,0.4
6111.54,-11.949999999999818,0,0.8
6299.85,-19.9399999999996,0,0.8
6441.02,-14.55999999999949,0,0.8
6390.93,-51.779999999999745,0,0.4
6202.89,-40.399999999999636,0,0.6
6203.29,-34.9399999999996,0,0.6
6299.09,72.77999999999975,1,0.6
6499.55,9.140000000000327,1,1.0
6410.73,28.159999999999854,1,0.6
6356.95,-24.529999999999745,0,0.4
6471.05,-46.92999999999938,0,0.8
6278.16,-41.86999999999989,0,0.3333333333333333
6370.58,-15.0600000000004,0,0.6
6328.09,29.300000000000182,1,0.6
6469.49,-15.340000000000146,0,0.6
6475.28,-22.960000000000036,0,0.4
6455.83,-61.529999999999745,0,0.4
6462.59,-21.139999999999418,0,0.4
6583.89,46.92000000000007,1,0.8
6602.33,-34.14000000000033,0,0.6
6652.82,29.769999999999527,1,0.6
6520.98,-103.49000000000069,0,0.4
6513.92,-13.510000000000218,0,0.4
6318.52,38.1200000000008,1,0.6
6282.0,-59.789999999999964,0,0.4
6263.63,11.020000000000437,1,0.4
6371.62,-27.659999999999854,0,0.75
6194.66,-78.19000000000051,0,0.2
6122.0,78.31999999999971,1,0.4
6223.71,44.14000000000033,1,0.75
6207.09,-16.61999999999989,0,0.0
6337.11,5.9299999999993815,1,0.8
6307.16,-52.18000000000029,0,0.6
6476.17,2.180000000000291,1,0.8
6452.84,18.210000000000036,1,0.6
6447.92,8.539999999999964,1,0.6
6483.25,-60.090000000000146,0,0.4
6546.62,34.43000000000029,1,0.8
6401.65,25.909999999999854,1,0.2
6578.73,19.079999999999927,1,1.0
6528.16,-87.53999999999996,0,0.4
6300.71,-47.0600000000004,0,0.0
6211.86,19.55999999999949,1,0.8
6089.68,-86.63000000000011,0,0.25
5863.78,-8.860000000000582,0,0.2
5974.98,-1.3200000000006185,0,0.6
5836.93,-13.86999999999989,0,0.4
5772.52,62.52000000000044,1,0.3333333333333333
5969.27,10.290000000000873,1,1.0
6013.0,-8.170000000000073,0,0.4
6010.31,17.970000000000255,1,0.8
6138.16,21.170000000000073,1,0.8
6226.01,24.360000000000582,1,0.8
6128.74,-21.19000000000051,0,0.4
6126.11,26.829999999999927,1,0.8
6215.46,31.4399999999996,1,0.6
6225.12,-36.850000000000364,0,0.4
6161.19,-128.03000000000065,0,0.6
6347.76,-18.269999999999527,0,0.8
6346.53,67.9399999999996,1,0.4
6526.51,56.07999999999993,1,0.8
6574.18,15.579999999999927,1,0.8
6622.04,-50.149999999999636,0,0.4
6572.01,-40.039999999999964,0,0.4
6603.26,35.470000000000255,1,0.6
6709.82,50.719999999999345,1,0.6
6571.42,70.02000000000044,1,0.2
6630.81,-41.11999999999989,0,0.6
6426.98,-57.95000000000073,0,0.2
6641.22,29.86999999999989,1,1.0
6361.94,-196.3700000000008,0,0.4
6278.03,3.519999999999527,1,0.6
6316.41,52.98999999999978,1,0.6
6203.14,67.67000000000007,1,0.4
6235.76,-48.31999999999971,0,0.6
6242.89,4.390000000000327,1,0.6
6250.82,46.54999999999927,1,0.6
6417.25,-0.2899999999999636,0,0.75
6399.37,-26.56999999999971,0,0.4
6272.38,-14.420000000000073,0,0.4
6383.63,0.9099999999998545,1,0.8
6004.85,20.110000000000582,1,0.4
5554.9,-211.57999999999993,0,0.4
5754.83,17.88000000000011,1,1.0
5897.68,21.950000000000728,1,1.0
6056.34,-33.88999999999942,0,0.6
6206.98,75.46999999999935,1,0.8
6146.31,-33.79999999999927,0,0.2
5787.15,-314.0799999999999,0,0.4
6114.74,79.88000000000011,1,0.8
6017.69,-42.02000000000044,0,0.3333333333333333
6027.19,-24.150000000000546,0,0.6
5880.84,-123.88999999999942,0,0.4
5860.98,13.0,1,0.6
5909.29,-1.319999999999709,0,0.3333333333333333
5991.34,-49.22999999999956,0,0.6
5995.15,21.36999999999989,1,0.4
5917.8,-74.81999999999971,0,0.4
5685.12,-69.35999999999967,0,0.2
5669.3,-68.72000000000025,0,0.2
5483.95,-102.98000000000047,0,0.2
5160.12,70.86999999999989,1,0.5
5217.76,162.65000000000055,1,0.4
4996.63,13.86999999999989,1,0.4
5204.19,31.6899999999996,1,0.8
5175.25,63.92000000000007,1,0.4
5249.29,-24.1899999999996,0,0.6
4929.75,-66.26000000000022,0,0.2
5030.52,25.75,1,0.6
4803.03,-85.34000000000015,0,0.2
4852.29,-11.38000000000011,0,0.6
4814.82,-52.30000000000018,0,0.4
4791.78,-1.5700000000006185,0,0.4
4670.08,-51.13000000000011,0,0.2
4805.22,71.74000000000069,1,0.6
4800.73,45.349999999999454,1,0.5
4278.04,-29.38000000000011,0,0.0
4127.99,109.52999999999975,1,0.4
4233.96,-0.4600000000000364,0,0.2
4437.95,138.97000000000025,1,0.8
4368.61,-13.720000000000255,0,0.2
4659.1,39.289999999999964,1,0.8
4374.76,-176.5699999999997,0,0.4
4376.65,30.949999999999818,1,0.6
4410.96,-0.13000000000010914,0,0.4
4337.1,-106.05999999999949,0,0.4
4231.14,-28.61999999999989,0,0.2
4168.04,6.769999999999527,1,0.4
4210.88,98.06999999999971,1,0.3333333333333333
4314.88,33.02000000000044,1,0.6
4347.81,44.08000000000084,1,0.4
4318.44,-19.730000000000473,0,0.6
4294.27,117.80000000000018,1,0.2
4502.73,-29.44000000000051,0,0.8
4777.3,118.15999999999985,1,0.8
5067.23,41.9399999999996,1,0.6
5245.7,-212.92000000000007,0,0.8
5359.01,60.51000000000022,1,0.6
5622.14,32.660000000000764,1,0.8
5547.66,177.53999999999996,1,0.4
5871.56,35.52000000000044,1,1.0
5714.37,-12.800000000000182,0,0.2
5810.18,35.01000000000022,1,0.6
5408.03,-50.39000000000033,0,0.2
5307.56,41.960000000000036,1,0.5
5064.32,175.90999999999985,1,0.4
4942.58,-165.77999999999975,0,0.4
4841.76,-31.159999999999854,0,0.2
4912.0,-14.399999999999636,0,0.4
4678.78,-105.03999999999996,0,0.0
4795.53,-82.11999999999989,0,0.6
5021.31,66.58000000000084,1,0.8
4950.48,-57.0,0,0.4
5042.66,17.639999999999418,1,0.4
4861.57,17.019999999999527,1,0.6
