m,BASIS
1,-139.06272727272724
2,-28.476500000000033
3,-164.50190476190454
4,-325.1865217391304
5,-362.78761904761916
6,-240.083
7,-225.44764705882346
8,-220.285238095238
9,-190.18608695652173
10,-182.01349999999996
11,-138.29249999999996
12,-137.56347826086952
13,-131.8735
14,-93.05857142857128
15,-77.86549999999997
16,-89.74523809523816
17,-75.30956521739134
18,-63.52699999999995
19,-38.06249999999994
20,-56.44090909090904
21,-72.8586363636363
22,-33.38000000000001
23,-63.56777777777774
24,-46.356086956521644
25,-21.18166666666664
26,-37.56649999999995
27,-34.97090909090924
28,-48.25857142857153
29,-27.80608695652174
30,-14.740952380952443
31,-22.765294117647016
32,-41.69772727272733
33,-19.503333333333277
34,-3.6340909090908182
35,-33.82600000000002
36,-43.04954545454534
37,-30.104444444444297
38,-20.554090909090892
39,-36.52449999999999
40,-24.569545454545484
41,-33.43782608695659
42,-8.470000000000015
43,-15.999444444444407
44,-18.34818181818181
45,-22.563000000000056
46,-8.685454545454563
47,10.377333333333324
48,-16.13571428571426
49,-27.718095238095277
50,-75.71399999999986
51,-42.02631578947344
52,-37.23130434782611
53,-35.60227272727264
54,-22.772500000000036
55,-28.72444444444439
56,-27.60047619047622
57,-0.7254545454545057
58,-1.4674999999999727
59,-39.51050000000009
60,-57.4077272727272
61,-50.69095238095248
62,-63.39777777777762
63,-49.047000000000025
64,-39.702173913043424
65,-72.59428571428582
66,-41.985454545454644
67,-37.04187499999995
68,-26.082857142857176
69,-18.235652173913007
70,-42.871
71,-41.56466666666656
72,-21.121304347825966
73,-22.871428571428623
74,-19.82055555555553
75,-31.671428571428674
76,-27.79227272727278
77,-53.532272727272726
78,-44.07100000000005
79,-24.255000000000052
80,-11.556818181818182
81,1.8113043478260806
82,9.931578947368363
83,-3.17937500000005
84,-25.455652173912945
85,-27.61421052631589
86,-49.253684210526444
87,-28.74571428571428
88,-33.016190476190395
89,-25.123043478261025
90,-14.769047619047646
91,-1.9106249999999818
92,9.376818181818221
93,13.076363636363608
