q,BASIS
1,-106.80307692307684
2,-310.92953125
3,-210.37508196721308
4,-152.82898305084746
5,-100.80344262295077
6,-76.36421875000002
7,-57.55983333333327
8,-47.648305084745715
9,-31.699333333333364
10,-30.192769230769283
11,-28.56549999999999
12,-26.007288135593146
13,-28.74266666666661
14,-22.97703125000004
15,-19.048500000000004
16,-6.452931034482758
17,-48.247666666666554
18,-32.23107692307691
19,-18.239508196721292
20,-35.804482758620686
21,-54.01033898305084
22,-50.928939393939444
23,-25.99716666666665
24,-33.90827586206889
25,-25.036166666666713
26,-41.727500000000035
27,-9.847049180327884
28,-7.718103448275856
29,-34.985593220339055
30,-24.32800000000004
31,7.7233333333333425
