q,inventory
1,14.46599133579506
2,13.961355699239867
3,13.835632742039884
4,14.223868145484321
5,14.52535309226184
6,14.556599924213886
7,14.506939262790254
8,14.537814032585748
9,14.586608567436553
10,14.531901008642093
11,14.384349962972523
12,14.406983752591021
13,14.630515129378006
14,14.894026596233159
15,15.067726805606457
16,15.405132423012146
17,15.740464071254557
18,16.04305470525856
19,16.11761093350179
20,16.197420747364315
21,16.225774477256177
22,16.46509414873405
23,16.43527329549732
24,16.412187238511944
25,16.48174862173881
26,16.66722181464803
27,16.614704209492213
28,16.67486453315765
29,16.83239601698828
30,16.861003381853568
31,16.751677045811974
