m,inventory
1,12.144915069218719
2,13.474521937819663
3,13.832623296240785
4,13.062730139004918
5,12.905037868411014
6,12.555418799373053
7,12.472471069515139
8,12.797472220450276
9,12.89413693003298
10,12.96153948111398
11,12.931210135839306
12,13.408475718472198
13,13.369656174199541
14,13.517783536849867
15,13.386095936099398
16,13.440856380478984
17,13.559557100292068
18,13.363763263080548
19,13.176730343220404
20,13.525941372701313
21,13.487067600236141
22,13.30543465308883
23,13.28753538437757
24,13.675009792726707
25,13.406121762251773
26,13.490692743961201
27,13.5611652555068
28,13.430622776994861
29,13.493179068047997
30,13.372415231195625
31,13.119015780448834
32,13.388497450283513
33,13.330079739218226
34,13.372254793683744
35,13.04746524700394
36,13.459957841235823
37,13.37652020667785
38,13.59631171604344
39,13.606438783161066
40,13.805319808212799
41,13.855778799191471
42,13.720498533707167
43,13.75064131547776
44,14.027157880140056
45,14.097062630297636
46,14.32554947235558
47,14.026637396928864
48,14.509392468544002
49,14.570097087184118
50,14.655988788877446
51,14.695395778283928
52,14.926000032778276
53,14.958582058450835
54,14.948467588973461
55,14.848899290912192
56,15.045444633207817
57,15.140880127221209
58,14.838825141385808
59,15.126437846904274
60,15.28189716399225
61,15.205387493992179
62,15.020026114973321
63,15.14719058984428
64,15.372900364896786
65,15.320635849950976
66,15.404135781161338
67,15.089669281812247
68,15.401755582658287
69,15.477807108995167
70,15.314825967790167
71,15.042738845143182
72,15.525460732244179
73,15.444789920470352
74,15.268144005730306
75,15.427184967573062
76,15.566378933062529
77,15.592187691768837
78,15.546741942382715
79,15.277805313762018
80,15.6059566651098
81,15.6276305053967
82,15.504900404721365
83,15.379435281077056
84,15.797413689176679
85,15.689127087931453
86,15.695408033185988
87,15.811968916757639
88,15.760975607977704
89,15.806881252523244
90,15.717309827899829
91,15.466114213830203
92,15.75029591246814
93,15.719227087728205
