week,turnoverRatio
1,1.455
2,1.556
3,1.4575
4,1.02
5,0.916
6,0.868
7,1.17
8,1.1800000000000002
9,1.3719999999999999
10,0.9620000000000001
11,0.99
12,1.268
13,2.0940000000000003
14,1.122
15,0.752
16,0.674
17,0.40800000000000003
18,0.5399999999999999
19,0.518
20,0.746
21,0.93
22,0.396
23,0.362
24,0.22200000000000003
25,0.15000000000000002
26,0.22999999999999998
27,0.312
28,0.376
29,0.258
30,0.47000000000000003
31,0.51
32,0.328
33,0.288
34,0.382
35,0.194
36,0.264
37,0.33999999999999997
38,0.20999999999999996
39,0.23000000000000004
40,0.23399999999999999
41,0.20400000000000001
42,0.21200000000000002
43,0.152
44,0.16999999999999998
45,0.198
46,0.312
47,0.202
48,0.29000000000000004
49,0.27599999999999997
50,0.192
51,0.18
52,0.188
53,0.176
54,0.10200000000000001
55,0.1275
56,0.11599999999999999
57,0.098
58,0.078
59,0.15
60,0.09000000000000001
61,0.11399999999999999
62,0.10200000000000001
63,0.124
64,0.166
65,0.196
66,0.124
67,0.14200000000000002
68,0.096
69,0.144
70,0.26999999999999996
71,0.13
72,0.118
73,0.11599999999999999
74,0.13666666666666666
75,0.08199999999999999
76,0.074
77,0.122
78,0.172
79,0.2
80,0.174
81,0.22999999999999998
82,0.244
83,0.32
84,0.48599999999999993
85,0.31999999999999995
86,0.296
87,0.2
88,0.162
89,0.17
90,0.162
91,0.174
92,0.12
93,0.09
94,0.168
95,0.202
96,0.194
97,0.144
98,0.14
99,0.16
100,0.198
101,0.194
102,0.24666666666666667
103,0.194
104,0.168
105,0.16199999999999998
106,0.1375
107,0.164
108,0.126
109,0.20800000000000002
110,0.18000000000000002
111,0.16199999999999998
112,0.132
113,0.17
114,0.174
115,0.138
116,0.22400000000000003
117,0.27999999999999997
118,0.2
119,0.21400000000000002
120,0.182
121,0.148
122,0.20600000000000002
123,0.286
124,0.19
125,0.186
126,0.188
127,0.146
128,0.178
129,0.15
130,0.19
131,0.262
132,0.264
133,0.27999999999999997
134,0.378
135,0.236
136,0.21799999999999997
137,0.158
138,0.148
139,0.188
140,0.31
141,0.302
142,0.51
143,0.554
144,0.388
145,0.542
146,0.24666666666666667
147,0.245
148,0.25
149,0.22199999999999998
150,0.21600000000000003
151,0.22599999999999998
152,0.242
153,0.19000000000000003
154,0.192
155,0.18800000000000003
156,0.17800000000000002
157,0.15666666666666668
158,0.154
159,0.14
160,0.148
161,0.14800000000000002
162,0.14400000000000002
163,0.136
164,0.2025
165,0.154
166,0.156
167,0.14
168,0.134
169,0.198
170,0.15200000000000002
171,0.156
172,0.132
173,0.128
174,0.138
175,0.122
176,0.11000000000000001
177,0.162
178,0.16999999999999998
179,0.176
180,0.148
181,0.22199999999999998
182,0.22199999999999998
183,0.156
184,0.166
185,0.144
186,0.10800000000000001
187,0.144
188,0.12200000000000003
189,0.14
190,0.136
191,0.1366666666666667
192,0.14
193,0.134
194,0.134
195,0.14200000000000002
196,0.18600000000000003
197,0.22799999999999998
198,0.45
199,0.458
200,0.32
201,0.27799999999999997
202,0.27
203,0.43
204,0.31
205,0.322
206,0.25999999999999995
207,0.22
208,0.248
209,0.178
210,0.16
211,0.168
212,0.15000000000000002
213,0.17800000000000002
214,0.236
215,0.186
216,0.21199999999999997
217,0.144
218,0.132
219,0.14600000000000002
220,0.154
221,0.18
222,0.14800000000000002
223,0.17400000000000002
224,0.168
225,0.22399999999999998
226,0.22249999999999998
227,0.17200000000000001
228,0.15400000000000003
229,0.12
230,0.165
231,0.17200000000000001
232,0.14400000000000002
233,0.16
234,0.188
235,0.14600000000000002
236,0.15000000000000002
237,0.154
238,0.128
239,0.166
240,0.21000000000000002
241,0.16599999999999998
242,0.26
243,0.23199999999999998
244,0.186
245,0.2175
246,0.304
247,0.22400000000000003
248,0.28200000000000003
249,0.34
250,0.324
251,0.294
252,0.274
253,0.22199999999999998
254,0.186
255,0.17500000000000002
256,0.162
257,0.152
258,0.16749999999999998
259,0.18333333333333335
260,0.134
261,0.14400000000000002
262,0.132
263,0.162
264,0.182
265,0.186
266,0.21
267,0.33
268,0.644
269,0.466
270,0.368
271,0.26
272,0.334
273,0.308
274,0.308
275,0.21200000000000002
276,0.23199999999999998
277,0.198
278,0.17600000000000002
279,0.166
280,0.14
281,0.16
282,0.20400000000000001
283,0.21000000000000002
284,0.20600000000000002
285,0.21600000000000003
286,0.248
287,0.22599999999999998
288,0.27599999999999997
289,0.322
290,0.21200000000000002
291,0.20400000000000001
