q,BASIS
1,13.172692307692342
2,-53.48296875000001
3,-23.927049180327856
4,-21.245762711864412
5,-13.153278688524612
6,-8.781093749999961
7,-6.856166666666657
8,-5.347796610169499
9,-10.135666666666626
10,0.6570769230769167
11,2.7916666666666514
12,-1.2822033898305254
13,-9.927833333333357
14,-3.258281249999989
15,3.1550000000000256
16,3.7841379310344987
17,-7.8174999999999875
18,-5.954461538461524
19,-0.11278688524591088
20,-6.316034482758659
21,-23.22457627118645
22,-7.919696969697001
23,-0.4393333333333961
24,-6.646379310344792
25,-9.315833333333307
26,-7.085781249999997
27,5.58688524590159
28,-0.33310344827583355
29,-8.746949152542392
30,-2.6586153846153766
31,2.4966666666666697
