q,amount
1,12.149476209045485
2,11.65117086667433
3,8.039792672509835
4,8.043422475601258
5,7.842659696347074
6,7.75457159487397
7,7.816070289178599
8,8.045379925765792
9,8.344754636476232
10,8.64589594490407
11,8.697851699444199
12,9.063757318628433
13,8.934804238067958
14,9.058430845554113
15,9.25189681672183
16,9.7596437406552
17,10.178648056334195
18,9.937402870783716
19,9.788704450077075
20,10.031352923534024
21,9.815013105781707
22,10.596635983095291
23,10.27708077194639
24,10.50523519674821
25,10.438668658899829
26,10.655055752292082
27,10.419670500181498
28,10.377981709254621
29,10.401506013588037
30,10.321687888946158
31,10.417284357967066
