q,volume
1,16.801993740239144
2,16.538849816822886
3,12.987576339644443
4,13.134515243495471
5,12.906915141057524
6,12.781426790383735
7,12.792833784760553
8,13.00227944671801
9,13.275223510548622
10,13.482593992445631
11,13.459900760840926
12,13.788987921901935
13,13.766909425927143
14,13.967057565462298
15,14.17125236666771
16,14.601052764302018
17,14.944545030098379
18,14.685393306022975
19,14.506705834798973
20,14.795899589092564
21,14.596719896583336
22,15.219383752052181
23,14.855383301109333
24,14.999965930321977
25,14.99513247130636
26,15.294757321514656
27,15.046394779804045
28,15.072587920348907
29,15.173265774315205
30,15.106208248245203
31,15.290222536021428
