month,closingPrice
1,
2,-0.025736013
3,-0.007200862
4,-0.176808572
5,-0.134219085
6,-0.079276683
7,0.060760605
8,0.058204498
9,-0.00414682
10,-0.144339462
11,-0.057128682
12,0.066829473
13,0.023436033
14,-0.030667632
15,0.005303731
16,0.030364445
17,0.019345519
18,-0.003387544
19,0.013219304
20,0.042140166
21,0.003907004
22,-0.00095468
23,0.01722146
24,-0.007305889
25,0.001888068
26,0.005305052
27,0.051155264
28,0.042431423
29,0.020360797
30,0.015055641
31,0.020914538
32,0.0471438
33,-0.003504328
34,0.064741952
35,-0.032336765
36,-0.043160947
37,-0.051764703
38,-0.002672272
39,-0.037365592
40,-0.053147704
41,0.000523585
42,0.008531938
43,-0.011173539
44,0.00174777
45,-0.025880466
46,-0.006450394
47,0.097964915
48,0.057177467
49,0.064030583
50,-0.080073604
51,0.030287243
52,0.033390023
53,-0.029502733
54,0.040372919
55,0.007759859
56,0.002553349
57,0.003262422
58,0.02399466
59,-0.061434734
60,-0.040458792
61,-0.00076661
62,0.019212596
63,0.022030206
64,0.124406535
65,0.011350725
66,-0.006184022
67,0.020333562
68,0.016922475
69,0.03477777
70,0.077851171
71,0.015629602
72,-0.074875677
73,-0.022455584
74,0.00466588
75,0.001118237
76,-0.05563573
77,-0.050802256
78,0.006738706
79,0.026677348
80,-0.019990546
81,0.024946086
82,-0.029669894
83,-0.023129466
84,-0.067424517
85,-0.024827973
86,-0.03709005
87,0.054100667
88,0.000818806
89,-0.050292056
90,-0.025937034
91,-0.081659242
92,0.014440268
93,0.055866484
