quarter,inventory
1,14.99638923
2,14.45328455
3,13.84644026
4,13.87006124
5,13.91411168
6,14.00777007
7,14.19930249
8,14.40783801
9,14.37210063
10,14.30289415
11,14.14304151
12,14.13432568
13,14.20588098
14,14.24167919
15,14.34357553
16,14.66850147
17,15.0713129
18,15.13335235
19,15.09830018
20,15.14594781
21,15.11852032
22,15.43990644
23,15.28613986
24,15.28951722
25,15.40141164
26,15.67333582
27,15.65746666
28,15.65303514
29,15.67134985
30,15.76155898
31,15.84411147
