month,inventory,future_return,volume,amount,BASIS,short_balance_ratio,pli,RSI,index_turnover_rate,index_trading_volume,treasury_spread,CCt
1,0.88703148,,14.17289685,9.527356707,35.53272727,1.73E-05,0.181818182,44.40393103,0.561818182,9.137232976,2.001318182,0
2,0.932187239,-0.111051386,15.51805768,10.7600425,28.65085,6.74E-05,0.45,40.64142531,0.4725,9.481054296,1.837575,0
3,0.943371032,-0.044305818,15.51012475,10.71135887,15.82857895,0.000130988,0.368421053,45.81012824,0.348947368,9.073901901,1.638052381,0
4,0.954007706,-0.020380416,15.83532443,11.01114696,0.632045455,0.000153977,0.681818182,56.25325868,0.454545455,9.40994914,1.411490909,1
5,0.955730456,0.074705517,15.75651771,11.01078155,7.965727273,0.000103432,0.590909091,43.24664464,0.560909091,9.696018635,1.407681818,0
6,0.950001278,0.011172239,15.27414488,10.54001914,12.40394737,8.55E-05,0.526315789,50.71448295,0.553157895,9.647988022,1.439990909,0
7,0.949046054,0.140513697,15.31349029,10.72332575,51.6738125,7.82E-05,0.625,70.94107066,1.161875,10.33514074,1.594117647,0
8,0.958388757,-0.006179857,15.54659727,10.94579894,37.15063636,6.54E-05,0.454545455,43.72637025,0.778181818,10.40173176,1.811109091,0
9,0.956335164,-0.047516243,15.33918468,10.69241094,23.43095652,9.29E-05,0.47826087,51.58361726,0.433043478,9.909789653,1.083026087,0
10,0.954564636,-0.039382197,15.28297261,10.59554139,7.91765,0.000138498,0.55,41.61243371,0.436,9.705965451,1.181628571,0
11,0.947330725,0.039141608,14.90983534,10.2620284,11.54573333,0.000163639,0.666666667,49.5715643,0.547333333,9.70302789,1.11905,0
12,0.961073456,0.02327665,15.31158647,10.68638425,9.80626087,0.000442248,0.47826087,50.90338836,0.544782609,10.15773241,1.269421739,0
13,0.956629649,0.011501857,14.95420505,10.34132014,9.496894737,0.000639975,0.473684211,49.5619621,0.526315789,9.856226119,1.188115,0
14,0.960450769,-0.067575987,15.04311424,10.36377444,4.464952381,0.001066237,0.428571429,38.3273881,0.305238095,9.396754377,1.033652381,0
15,0.959388849,-0.039022319,15.11705253,10.39739293,0.092571429,0.001435613,0.571428571,46.37897115,0.31047619,9.395616726,0.638509524,0
16,0.959047124,0.034331537,15.05991469,10.37538283,4.552571429,0.001392951,0.523809524,40.14278805,0.35952381,9.591745001,0.54722381,0
17,0.958779344,-0.068873361,15.33997342,10.58220614,0.435869565,0.001740521,0.434782609,47.23615982,0.30173913,9.427284748,0.477569565,0
18,0.959794885,-0.058092421,15.40693785,10.59529083,1.874095238,0.002716373,0.285714286,51.22288104,0.212380952,8.928832533,0.27772381,0
19,0.954322971,-0.03379489,15.23443255,10.38768312,2.1615625,0.003139016,0.5,60.63268368,0.301875,8.928599284,0.5857,1
20,0.964710821,0.02047425,15.41782959,10.59426017,6.1115,0.003276499,0.454545455,38.77755721,0.273636364,9.219219833,0.967309091,1
21,0.968228349,-0.096195732,15.66241582,10.73799301,10.42690909,0.006883446,0.363636364,47.23467649,0.203636364,8.820460186,0.917117391,1
22,0.959650115,-0.003952399,15.52779671,10.60237647,12.83506667,0.00722019,0.466666667,62.66676707,0.314666667,8.906279564,0.760676471,1
23,0.968125014,0.055672394,15.88698948,11.01482668,5.636619048,0.006444336,0.666666667,52.85341753,0.365238095,9.433947016,0.677447619,0
24,0.973399046,0.017970766,15.76125727,10.91214304,8.617363636,0.005948364,0.409090909,43.04159024,0.354545455,9.530666531,0.700095652,0
25,0.96611444,-0.009127388,15.61763941,10.75241102,5.165294118,0.007865526,0.588235294,66.32755256,0.322941176,9.136394541,0.761863158,0
26,0.975530775,0.019728802,15.79062064,10.94806666,-6.396681818,0.00789293,0.454545455,55.10367833,0.327272727,9.476667543,1.000595455,0
27,0.972695561,-0.039501881,15.78109602,10.90248611,-3.3366,0.010071247,0.3,50.45879674,0.237,9.050770032,1.240055,0
28,0.981851318,-0.043956373,16.00031679,11.07729837,11.95222727,0.012295821,0.5,33.45010468,0.233636364,9.09331992,1.104963636,0
29,0.984852317,-0.037950403,15.89846094,10.93494154,12.81182609,0.013093626,0.434782609,40.1353549,0.203478261,8.970550283,0.850382609,0
30,0.981176732,-0.028860161,16.21465986,11.22378393,11.66695,0.013325957,0.55,53.21628923,0.2735,9.016192358,0.840842857,0
31,0.979085473,0.017534597,16.0744105,11.10151537,7.971611111,0.017426607,0.5,43.3766746,0.229444444,8.716674999,0.779288889,0
32,0.984579827,-0.039000688,16.28525331,11.2732129,3.938272727,0.026518838,0.318181818,54.24979132,0.193181818,8.724399212,0.704886364,0
33,0.985141727,0.053920763,16.51370899,11.55248881,9.678761905,0.02187829,0.714285714,66.15756344,0.406190476,9.474886869,0.718871429,0
