quarter,future_return,volume,inventory,amount,BASIS,RSI,short_balance_ratio,spread,pli,index_trading_volume,index_turnover_rate,CCt
1,,16.33014113,13.67535154,11.56829849,25.2924,43.81353789,8.05E-05,1.791636538,0.36,10.34588261,0.4452,1
2,-0.021296613,16.74951465,14.48715878,11.97582108,6.743269841,49.71119814,0.000115678,1.419721212,0.603174603,10.69086729,0.521428571,0
3,0.151496484,16.50393516,14.54057831,11.89230967,35.787,52.87826581,7.91E-05,1.481516129,0.508196721,11.33665405,0.748688525,0
4,-0.035663856,16.28272097,14.54177767,11.62925936,9.60487931,47.32563404,0.000265452,1.198595,0.551724138,10.97801341,0.507931034,0
5,-0.020328377,16.13894567,14.68074418,11.46637407,4.527032787,45.28247505,0.001060629,0.949640323,0.491803279,10.67270371,0.375901639,0
6,-0.077337434,16.37848065,14.69271362,11.6211866,2.230538462,45.45759423,0.001943504,0.435507692,0.415384615,10.45197306,0.291538462,1
7,-0.116018418,16.5523013,14.83079124,11.68212801,6.6405,49.48291255,0.004562384,0.839953968,0.433333333,10.10255396,0.2555,1
8,-0.011812849,16.83481404,14.99796969,11.95656625,8.628913793,51.60718106,0.00645686,0.709181967,0.517241379,10.42405715,0.348103448,0
9,0.016787688,16.83148869,15.14798633,11.96970358,-2.027949153,56.1833649,0.008623447,1.004747541,0.440677966,10.33734379,0.295423729,0
10,-0.098143105,17.14524233,15.56185905,12.18423258,12.16861538,44.42357796,0.012895086,0.932207576,0.492307692,10.1265895,0.235230769,0
11,-0.024312146,17.40580946,15.57761617,12.42517826,7.104672131,58.25359913,0.022238319,0.731655738,0.508196721,10.13790452,0.277213115,0
12,0.135310532,17.6105489,15.62209312,12.76198312,4.555017857,45.56713273,0.018494838,0.860273333,0.535714286,10.73158687,0.473571429,0
13,-0.057852327,17.62343188,15.68782107,12.71188405,-11.94350877,46.92995719,0.020731452,0.573117742,0.421052632,10.45364244,0.357719298,0
14,-0.069091396,17.88380965,15.60904495,12.90437352,-11.29832812,55.14619037,0.022125727,0.321784848,0.515625,10.72820868,0.3903125,0
15,0.038490974,17.62719205,15.72188301,12.69023608,4.890377049,52.64257987,0.018650888,0.426985484,0.442622951,10.60713714,0.340327869,0
16,-0.085302257,17.54139529,15.77256156,12.51657246,-5.287310345,48.84325536,0.013648056,1.118068333,0.431034483,10.48737105,0.327068966,1
17,-0.015188726,17.56232608,16.04376772,12.52581972,-4.103032787,55.18734756,0.019270047,1.027496774,0.459016393,10.23681413,0.248196721,0
18,0.071367698,17.72102336,16.25724506,12.76169923,2.946753846,54.03996169,0.014013356,0.571307576,0.6,10.93112519,0.465692308,0
19,0.191224024,18.23542164,16.332104,13.50708239,19.33654098,63.28347955,0.011081051,0.36123871,0.62295082,11.95735856,1.204590164,0
20,0.248161291,18.21350357,16.40829049,13.69081499,12.38005263,48.15266284,0.009198623,0.337948333,0.614035088,12.16652479,1.233157895,0
21,0.275420596,18.50359273,16.32284938,14.25155868,-0.696741935,45.53691504,0.005184871,1.08473871,0.580645161,12.90078904,1.927258065,0
22,-0.284702504,18.27033844,15.51565133,13.79287775,-116.9919531,41.01625096,0.003755908,1.203598462,0.484375,12.31057792,1.2071875,1
23,0.006146973,13.9363724,14.72332426,9.400601163,-65.03450656,51.0369743,0.003454245,0.635253226,0.590163934,11.85722704,0.739672131,0
24,-0.160732835,14.12386106,14.7682362,9.428788115,-46.13318814,34.88182315,0.004423231,0.649668852,0.576271186,11.23809459,0.503220339,0
25,0.016900013,13.94545139,14.79350768,9.271193674,-32.65204426,48.40844173,0.00479636,0.723395161,0.491803279,11.00607825,0.356065574,0
26,0.040821379,13.77374958,14.86737604,9.140891682,-24.10486719,52.76844916,0.007312567,0.63104,0.515625,11.18066435,0.38234375,0
27,0.03823948,13.54962651,14.7285151,8.954762726,-16.26538167,52.54897747,0.007968591,0.602864516,0.5,11.22059219,0.478833333,0
28,0.008508365,13.70325186,14.78348403,9.117831365,-16.23934068,51.01861216,0.009233362,0.610421311,0.576271186,10.96500388,0.370847458,0
29,0.02216782,13.91172306,14.79856159,9.345155315,-14.27955833,57.16561677,0.011280316,0.26493871,0.533333333,11.17151415,0.421166667,0
30,0.075555429,13.86054128,14.77042413,9.370490448,-9.309469231,52.80700736,0.009327717,0.287056061,0.553846154,11.45906551,0.486307692,0
31,0.069524996,13.8740134,14.71407836,9.456929319,-4.650386667,48.23526215,0.010833746,0.20654,0.583333333,11.42944331,0.452166667,0
32,0.021610472,14.06418305,14.6946899,9.665012065,-9.738261017,34.46538698,0.010926707,0.497236066,0.627118644,11.58668175,0.533728814,1
33,-0.084765799,14.13583672,14.75527208,9.651890513,-17.48862,48.9027879,0.014902786,0.661296774,0.416666667,11.14902505,0.322333333,1
34,-0.114869706,14.52307136,15.03413392,9.923220079,-11.71567813,56.29248823,0.025101397,0.916451515,0.421875,11.00862931,0.28515625,1
35,-0.058979316,14.84437612,15.19930354,10.18759675,0.319196667,49.16931097,0.026625251,0.915601639,0.416666667,10.96631738,0.324166667,1
36,0.084668838,15.41067184,15.50407938,10.86063247,3.623612069,62.3125286,0.016399674,0.83704,0.568965517,11.54785178,0.590862069,0
37,0.093833256,15.82122361,15.81228152,11.34152082,-11.55716667,52.38332084,0.015070019,0.895062903,0.466666667,11.55522547,0.498666667,0
38,0.006281301,15.63689161,15.83991338,11.16529648,-9.457901538,48.93325532,0.025602266,0.6937,0.507692308,11.41268847,0.360307692,0
39,0.029143623,15.44428256,15.76389963,11.00380539,-0.099932787,56.18753901,0.031173005,0.674916129,0.540983607,11.321252,0.347377049,0
40,0.009875002,15.80109599,15.92862391,11.35977079,-11.22172759,43.56845277,0.016918089,0.973684746,0.5,11.86828843,0.591034483,1
41,-0.01983266,15.58753779,15.95825114,11.13112947,-28.95907458,52.31588702,0.037252185,1.262258065,0.627118644,11.53851904,0.401186441,0
42,0.18182535,16.13150544,16.30872328,11.86021689,-18.08568485,48.3287617,0.06697113,0.708431343,0.575757576,12.28587017,0.684393939,0
43,0.050848224,15.71726638,16.23208323,11.49616865,-4.641718333,58.85842346,0.141356633,0.484147541,0.55,11.97281127,0.504166667,0
44,0.084372365,15.9566217,16.31314059,11.81913855,-17.69544483,44.54341057,0.155356108,0.91062,0.534482759,12.32123563,0.696551724,0
45,-0.039723222,15.87894365,16.38686092,11.70036797,-15.50281667,47.19051373,0.175660139,0.998824194,0.566666667,12.05660047,0.498,0
